epoch,reward
1,1896.800000
2,2122.400000
3,2131.600000
4,2133.200000
5,2093.000000
6,2117.000000
7,2123.600000
8,2114.200000
9,2127.000000
10,2118.800000
11,2117.400000
12,2116.800000
13,2118.000000
14,2112.800000
15,2114.000000
16,2131.800000
17,2121.600000
18,2128.200000
19,2126.400000
20,2113.600000
21,2138.200000
22,2144.400000
23,2131.600000
24,2146.200000
25,2118.400000
26,2095.000000
27,2156.000000
28,2138.600000
29,2148.000000
30,2147.200000
31,2116.800000
32,2131.200000
33,2123.400000
34,2150.600000
35,2124.800000
36,2128.600000
37,2157.200000
38,2107.200000
39,2125.800000
40,2105.400000
41,2133.200000
42,2138.200000
43,2147.200000
44,2135.600000
45,2151.200000
46,2143.800000
47,2172.200000
48,2154.800000
49,2149.600000
50,2175.200000
51,2149.800000
52,2132.800000
53,2150.000000
54,2167.200000
55,2143.400000
56,2183.600000
57,2161.400000
58,2127.400000
59,2167.000000
60,2147.000000
61,2158.000000
62,2183.600000
63,2159.200000
64,2171.400000
65,2176.800000
66,2139.800000
67,2171.600000
68,2153.600000
69,2150.400000
70,2151.000000
71,2155.800000
72,2181.800000
73,2186.200000
74,2156.200000
75,2190.600000
76,2183.600000
77,2145.000000
78,2163.800000
79,2160.600000
80,2164.200000
81,2201.000000
82,2152.400000
83,2177.400000
84,2182.200000
85,2162.600000
86,2152.800000
87,2164.400000
88,2163.600000
89,2159.400000
90,2178.600000
91,2190.200000
92,2169.200000
93,2162.400000
94,2183.800000
95,2181.600000
96,2197.800000
97,2166.600000
98,2172.000000
99,2182.400000
100,2184.200000
